Date;Team;Inflow;Outflow;;
10.07.2014;Boston Celtics;Marcus Thornton;2 round 2014 draft pick;A;
10.07.2014;Cleveland Cavaliers;2 round 2014 draft pick;Tyler Zeller;C;
10.07.2014;Brooklyn Nets;Jarrett Jack;Marcus Thornton;B-;
10.07.2014;Toronto Raptors;Diante Garrett;Steven Novak;A-;
10.07.2014;Utah Jazz;Steven Novak;Diante Garrett;C;
12.07.2014;Phoenix Suns;Isaiah Thomas;Alex Oriakhi;B+;
12.07.2014;Sacramento Kings;Alex Oriakhi;Isaiah Thomas;B;
15.07.2014;Atlanta Hawks;Giorgos Printezis;Sofoklis Schortsanitis;False;Sign-Trade
15.07.2014;Oklahoma City Thunder;Sofoklis Schortsanitis;Giorgos Printezis;False;
15.07.2014;Houston Rockets;Alonzo Gee;Omer Asik;A-;
15.07.2014;New Orleans Pelicans;Omer Asik;Alonzo Gee;C-;
15.07.2014;Washington Wizards;Melvin Ely;Trevor Ariza;B+;
15.07.2014;Houston Rockets;Sergei Lishouk;Jeremy Lin;D;
15.07.2014;Los Angeles Lakers;Jeremy Lin;Sergei Lishouk;A;
16.07.2014;Dallas Mavericks;Emir Preldzic;DeJuan Blair;False;Sign-Trade
16.07.2014;Washington Wizards;DeJuan Blair;Emir Preldzic;False;
19.07.2014;Boston Celtics;2 round 2015 draft pick;Kris Humphries;False;Sign-Trade
19.07.2014;Washington Wizards;Kris Humphries;2 round 2015 draft pick;False;
22.07.2014;Cleveland Cavaliers;John Lucas III;Carrick Felix;A;
22.07.2014;Utah Jazz;Carrick Felix;John Lucas III;B;
06.08.2014;New York Knicks;Quincy Acy;Wayne Ellington;C;
06.08.2014;Sacramento Kings;Wayne Ellington;Quincy Acy;B;
23.08.2014;Cleveland Cavaliers;Kevin Love;Anthony Bennett;A;
23.08.2014;Minnesota Timberwolves;Anthony Bennett;Kevin Love;B-;
23.08.2014;Philadelphia 76ers;Timothe Luwawu-Cabarrot; Thaddeus Young;B+;
26.08.2014;Los Angeles Clippers;Carlos Delfino;Jared Dudley;D;
26.08.2014;Milwaukee Bucks;Jared Dudley;Carlos Delfino;A-;
26.08.2014;Oklahoma City Thunder;2 round 2015 draft pick;Hasheem Thabeet;False;
26.08.2014;Philadelphia 76ers;Hasheem Thabeet;2 round 2015 draft pick;False;
17.09.2014;Houston Rockets;Jason Terry;Alonzo Gee;B;
17.09.2014;Sacramento Kings;Alonzo Gee;Jason Terry;B+;
25.09.2014;Boston Celtics;John Lucas III;Keith Bogans;B+;
25.09.2014;Cleveland Cavaliers;Keith Bogans;John Lucas III;A;
27.09.2014;Cleveland Cavaliers;2 round 2015 draft pick;Keith Bogans;B;
27.09.2014;Philadelphia 76ers;Keith Bogans;2 round 2015 draft pick;B;
17.10.2014;Boston Celtics;Will Bynum;Joel Anthony;B;
17.10.2014;Detroit Pistons;Joel Anthony;Will Bynum;C;
24.10.2014;Brooklyn Nets;Casper Ware;Marquis Teague;B;
24.10.2014;Philadelphia 76ers;Marquis Teague;Casper Ware;B+;
27.10.2014;New York Knicks;Arnett Moultrie;Travis Outlaw;A-;
27.10.2014;Philadelphia 76ers;Travis Outlaw;Arnett Moultrie;C-;
10.12.2014;Brooklyn Nets;Brandon Davies;Jorge Gutierrez;A+;
10.12.2014;Philadelphia 76ers;Jorge Gutierrez;Brandon Davies;B-;
18.12.2014;Boston Celtics;Jae Crowder;Dwight Powell;B+;
18.12.2014;Dallas Mavericks;Dwight Powell;Jae Crowder;B-;
19.12.2014;Houston Rockets;Corey Brewer;Troy Daniels;B-;
19.12.2014;Minnesota Timberwolves;Troy Daniels;Corey Brewer;A;
19.12.2014;Philadelphia 76ers;Sergei Lishouk;Alexey Shved;B;
24.12.2014;Detroit Pistons;Anthony Tolliver;Tony Mitchell;B;
24.12.2014;Phoenix Suns;Tony Mitchell;Anthony Tolliver;B+;
05.01.2015;Cleveland Cavaliers;Iman Shumpert;Lou Amundson;A-;
05.01.2015;New York Knicks;Lou Amundson;Iman Shumpert;A;
05.01.2015;Oklahoma City Thunder;Dion Waiters;1 round 2016 draft pick;D;
07.01.2015;Los Angeles Clippers;Sergei Lishouk;Cenk Akyol;False;
07.01.2015;Philadelphia 76ers;Cenk Akyol;Sergei Lishouk;False;
07.01.2015;Cleveland Cavaliers;Timofey Mozgov;1 round 2016 draft pick;B+;
07.01.2015;Denver Nuggets;1 round 2016 draft pick;Timofey Mozgov;A+;
09.01.2015;Boston Celtics;1 round 2015 draft pick;Brandan Wright;B+;
09.01.2015;Phoenix Suns;Brandan Wright;1 round 2015 draft pick;B+;
12.01.2015;Boston Celtics;Tayshaun Prince;Jeff Green;B+;
12.01.2015;Memphis Grizzlies;Jeff Green;Tayshaun Prince;C+;
12.01.2015;New Orleans Pelicans;Quincy Pondexter;Austin Rivers;C;
13.01.2015;Boston Celtics;Nate Robinson;Jameer Nelson;B+;
13.01.2015;Denver Nuggets;Jameer Nelson;Nate Robinson;D;
15.01.2015;Boston Celtics;Chris Douglas-Roberts;Austin Rivers;B;
15.01.2015;Los Angeles Clippers;Austin Rivers;Chris Douglas-Roberts;F;
15.01.2015;Phoenix Suns;Reggie Bullock;Shavlik Randolph;A-;
10.02.2015;Charlotte Hornets;Troy Daniels;Gary Neal;B-;
10.02.2015;Minnesota Timberwolves;Gary Neal;Troy Daniels;A;
10.02.2015;Atlanta Hawks;1 round 2017 draft pick;Adreian Payne;B;
10.02.2015;Minnesota Timberwolves;Adreian Payne;1 round 2017 draft pick;C;
19.02.2015;Brooklyn Nets;Thaddeus Young;Kevin Garnett;A;
19.02.2015;Minnesota Timberwolves;Kevin Garnett;Thaddeus Young;C;
19.02.2015;Miami Heat;Goran Dragic;Norris Cole;C;
19.02.2015;New Orleans Pelicans;Norris Cole;John Salmons;D;
19.02.2015;Phoenix Suns;Danny Granger;Goran Dragic;B+;
19.02.2015;Milwaukee Bucks;Michael Carter-Williams;Brandon Knight;B-;
19.02.2015;Phoenix Suns;Brandon Knight;Tyler Ennis;B-;
19.02.2015;Philadelphia 76ers;1 round 2015 draft pick;Michael Carter-Williams;C-;
19.02.2015;Detroit Pistons;Reggie Jackson;D.J. Augustin;C;
19.02.2015;Oklahoma City Thunder;D.J. Augustin;Reggie Jackson;D;
19.02.2015;Utah Jazz;2 round 2017 draft pick;Enes Kanter;A-;
19.02.2015;Boston Celtics;Gigi Datome;Tayshaun Prince;B+;
19.02.2015;Detroit Pistons;Tayshaun Prince;Gigi Datome;C;
19.02.2015;Phoenix Suns;Marcus Thornton;Isaiah Thomas;C;
19.02.2015;Denver Nuggets;Will Barton;Arron Afflalo;B;
19.02.2015;Portland Trail Blazers;Arron Afflalo;Will Barton;B;
19.02.2015;Houston Rockets;Pablo Prigioni;Alexey Shved;C;
19.02.2015;New York Knicks;Alexey Shved;Pablo Prigioni;D;
19.02.2015;Houston Rockets;K.J. McDaniels;Isaiah Canaan;B;
19.02.2015;Philadelphia 76ers;Isaiah Canaan;K.J. McDaniels;B+;
19.02.2015;Sacramento Kings;Andre Miller;Ramon Sessions;B;
19.02.2015;Washington Wizards;Ramon Sessions;Andre Miller;C;
19.02.2015;Denver Nuggets;Cenk Akyol;Chukwudiebere Maduabum;D;
19.02.2015;Philadelphia 76ers;Chukwudiebere Maduabum;Cenk Akyol;A;
19.02.2015;New Orleans Pelicans;Ish Smith;2 round 2016 draft pick;B;
19.02.2015;Oklahoma City Thunder;2 round 2016 draft pick;Ish Smith;B;
11.06.2015;Detroit Pistons;Ersan Ilyasova;Caron Butler;B+;
11.06.2015;Milwaukee Bucks;Caron Butler;Ersan Ilyasova;B-;
15.06.2015;Charlotte Hornets;Matt Barnes;Lance Stephenson;B-;
15.06.2015;Los Angeles Clippers;Lance Stephenson;Matt Barnes;D;
24.06.2015;Charlotte Hornets;Nicolas Batum;Gerald Henderson;C+;
24.06.2015;Portland Trail Blazers;Gerald Henderson;Nicolas Batum;A-;
25.06.2015;Brooklyn Nets;Steve Blake;Pat Connaughton;C;
25.06.2015;Portland Trail Blazers;Pat Connaughton;Steve Blake;A-;
25.06.2015;Atlanta Hawks;Tim Hardaway, Jr.;Jerian Grant;D;
25.06.2015;New York Knicks;Jerian Grant;Tim Hardaway, Jr.;A;
25.06.2015;Washington Wizards;Kelly Oubre;Jerian Grant;C;
25.06.2015;Memphis Grizzlies;Andrew Harrison;Jon Leuer;False;Not found
25.06.2015;Phoenix Suns;Jon Leuer;Andrew Harrison;False;
25.06.2015;Los Angeles Clippers;Branden Dawson;NA;False;
25.06.2015;New Orleans Pelicans;NA;Branden Dawson;False;
25.06.2015;Portland Trail Blazers;Daniel Diez;NA;False;
25.06.2015;Utah Jazz;NA;Daniel Diez;False;
25.06.2015;Brooklyn Nets;Juan Pablo Vaulet;2 round 2018 draft pick;False;
25.06.2015;Charlotte Hornets;2 round 2018 draft pick;Juan Pablo Vaulet;False;
25.06.2015;Cleveland Cavaliers;Rakeem Christmas;Tyus Jones;B-;
25.06.2015;Minnesota Timberwolves;Tyus Jones;Rakeem Christmas;B;
25.06.2015;Charlotte Hornets;Luke Ridnour;Matt Barnes;B-;
25.06.2015;Memphis Grizzlies;Matt Barnes;Luke Ridnour;A;
25.06.2015;Charlotte Hornets;Jeremy Lamb;Luke Ridnour;B-;
25.06.2015;Oklahoma City Thunder;Luke Ridnour;Jeremy Lamb;B;
25.06.2015;Memphis Grizzlies;Luke Ridnour;Janis Timma;False;
25.06.2015;Orlando Magic;Janis Timma;Luke Ridnour;False;
25.06.2015;Milwaukee Bucks;Greivis Vasquez;Norman Powell;D;
25.06.2015;Toronto Raptors;Norman Powell;Greivis Vasquez;B;
25.06.2015;New York Knicks;Willy Hernangomez;2 round 2020 draft pick;False;
25.06.2015;Philadelphia 76ers;2 round 2020 draft pick;Willy Hernangomez;False;
30.06.2015;Oklahoma City Thunder;Tomislav Zubcic;Luke Ridnour;False;
30.06.2015;Toronto Raptors;Luke Ridnour;Tomislav Zubcic;False;
