Date;Team;Inflow;Outflow;Grade
July 9, 2015;Detroit Pistons;Reggie Bullock;2 round 2020 draft pick;B
July 9, 2015;Phoenix Suns;2 round 2020 draft pick;Reggie Bullock;B-
July 9, 2015;Milwaukee Bucks;2 round 2015 draft pick;Jared Dudley;C-
July 9, 2015;Washington Wizards;Jared Dudley;2 round 2015 draft pick;B+
July 9, 2015;Philadelphia 76ers;Carl Landry;Arturas Gudaitis;B+
July 9, 2015;Sacramento Kings;Arturas Gudaitis;Carl Landry;F
July 9, 2015;Sacramento Kings;2 round 2015 draft pick;Ray McCallum;C+
July 9, 2015;San Antonio Spurs;Ray McCallum;2 round 2015 draft pick;C+
July 9, 2015;Dallas Mavericks;Zaza Pachulia;2 round 2015 draft pick;A
July 9, 2015;Milwaukee Bucks;2 round 2015 draft pick;Zaza Pachulia;D
July 9, 2015;Atlanta Hawks;Tiago Splitter;Giorgos Printezis;B+
July 9, 2015;San Antonio Spurs;Giorgos Printezis;Tiago Splitter;A
July 9, 2015;New York Knicks;Kyle O'Quinn;NA;B
July 9, 2015;Orlando Magic;NA;Kyle O'Quinn;C
July 9, 2015;Indiana Pacers;2 round 2015 draft pick;Roy Hibbert;A
July 9, 2015;Los Angeles Lakers;Roy Hibbert;2 round 2015 draft pick;B-
July 9, 2015;Boston Celtics;David Lee;Chris Babb;B-
July 9, 2015;Golden State Warriors;Chris Babb;David Lee;A
July 11, 2015;Indiana Pacers;Chase Budinger;Damjan Rudez;C
July 11, 2015;Minnesota Timberwolves;Damjan Rudez;Chase Budinger;B
July 13, 2015;Brooklyn Nets;Quincy Miller;Steve Blake;C
July 13, 2015;Detroit Pistons;Steve Blake;Quincy Miller;C
July 14, 2015;Orlando Magic;2 round 2020 draft pick;Maurice Harkless;False
July 14, 2015;Portland Trail Blazers;Maurice Harkless;2 round 2020 draft pick;False
July 14, 2015;Boston Celtics;Perry Jones;NA;A
July 14, 2015;Oklahoma City Thunder;NA;Perry Jones;B
July 20, 2015;Denver Nuggets;Joey Dorsey;Ty Lawson;B+
July 20, 2015;Houston Rockets;Ty Lawson;Joey Dorsey;A
July 23, 2015;Cleveland Cavaliers;2 round 2019 draft pick;Rakeem Christmas;False
July 23, 2015;Indiana Pacers;Rakeem Christmas;2 round 2019 draft pick;False
July 27, 2015;Cleveland Cavaliers;NA;Brendan Haywood;A+
July 27, 2015;Portland Trail Blazers;Brendan Haywood;NA;B
